id,name,category,date_acquired,cost_basis,current_value,quantity,notes
pokemon-charizard-psa10,Charizard Base Set PSA 10,Trading Cards,2020-03-15,15000,42000,1,1st Edition Shadowless
mtg-black-lotus,Black Lotus Beta,Trading Cards,2019-06-22,25000,85000,1,Graded BGS 8.5
pokemon-booster-box,Pokemon Base Set Booster Box,Trading Cards,2021-01-10,12000,28000,1,Sealed WOTC
rolex-submariner,Rolex Submariner Date,Watches,2022-05-18,9500,14200,1,Reference 16610
omega-speedmaster,Omega Speedmaster Professional,Watches,2021-11-03,5800,7200,1,Hesalite crystal
vintage-wine-collection,Bordeaux Collection 2010,Wine,2020-08-25,3200,4800,12,Mixed case first growths
art-banksy-print,Banksy Girl with Balloon,Art,2019-02-14,800,2400,1,Signed print 150/600
coins-gold-eagles,American Gold Eagles,Coins,2022-09-01,9600,11200,5,1 oz each
sports-jordan-rookie,Michael Jordan Rookie PSA 9,Trading Cards,2020-07-20,8500,22000,1,1986 Fleer
vintage-comic-asm1,Amazing Spider-Man #1,Comics,2018-12-05,18000,45000,1,CGC 6.5 restored
